b0sys	ba1sys	ba2sys	ba3sys	ba4sys	b1sys	b2sys	b3sys	b4sys	bb1sys	bb2sys	bb3sys	bb4sys
57.7098	-1.2570	1.9037	-11.8077	27.0173	0.3677	-0.0024	0.0271	-0.1572	-0.0012	-0.1965	0.2980	-0.1324
58.0736	-1.2363	1.9353	-12.3170	28.6066	0.3643	-0.0024	0.0253	-0.1507	0.0020	-0.1780	0.2641	-0.1092
62.0223	-1.2128	1.9237	-12.1570	27.9030	0.3343	-0.0016	0.0242	-0.1555	-0.0004	-0.2100	0.3150	-0.1360
62.1221	-1.1404	1.8555	-11.8390	27.3698	0.3308	-0.0017	0.0260	-0.1685	-0.0024	-0.1452	0.2208	-0.0993
62.7962	-1.1130	1.8421	-11.7266	26.7715	0.3253	-0.0016	0.0282	-0.1884	-0.0019	-0.1808	0.2766	-0.1276
61.7073	-1.2183	1.9323	-12.0462	26.8742	0.3435	-0.0022	0.0321	-0.2009	-0.0018	-0.1943	0.2958	-0.1342
61.7636	-1.1885	1.9597	-12.4946	27.9124	0.3420	-0.0022	0.0308	-0.1956	0.0030	-0.2340	0.3493	-0.1490
63.7493	-1.2055	1.9600	-12.5069	28.0089	0.3283	-0.0012	0.0195	-0.1595	-0.0020	-0.1708	0.2634	-0.1258
62.2586	-1.0770	1.8646	-12.2702	27.8184	0.3328	-0.0012	0.0137	-0.1292	-0.0024	-0.0705	0.1151	-0.0646
64.2911	-1.0805	1.8431	-11.8647	26.3816	0.3191	-0.0007	0.0088	-0.1057	-0.0070	-0.0325	0.0621	-0.0471
68.9778	-1.2187	1.8880	-11.2553	23.9127	0.2940	0.0003	0.0053	-0.0991	-0.0123	-0.0668	0.1121	-0.0648
70.4806	-1.1650	1.8218	-10.7395	22.4622	0.2801	0.0009	0.0001	-0.0853	-0.0136	-0.0702	0.1225	-0.0781
70.6109	-1.1182	1.8262	-11.2854	24.8046	0.2768	0.0010	-0.0007	-0.0840	-0.0100	-0.1092	0.1806	-0.1041
69.8975	-1.1611	1.8731	-11.7046	26.3452	0.2870	0.0007	0.0018	-0.0954	-0.0067	-0.1524	0.2386	-0.1185
69.1910	-1.1401	1.9015	-12.2170	27.9129	0.2928	0.0003	0.0055	-0.1110	-0.0035	-0.2103	0.3262	-0.1586
69.9619	-1.1195	1.8816	-11.9235	26.8170	0.2873	0.0005	0.0046	-0.1118	-0.0053	-0.1918	0.3015	-0.1525
68.3161	-1.0128	1.7759	-11.6001	26.6764	0.2951	0.0003	0.0028	-0.1008	-0.0022	-0.2321	0.3639	-0.1831
68.0555	-0.9162	1.6469	-10.7107	24.2868	0.2927	0.0006	-0.0014	-0.0813	-0.0004	-0.2360	0.3707	-0.1882
65.6124	-0.7989	1.5036	-9.8072	21.9786	0.3055	0.0004	-0.0054	-0.0567	-0.0017	-0.1403	0.2328	-0.1369
65.1636	-0.7707	1.4570	-9.5828	21.8374	0.3086	0.0005	-0.0086	-0.0391	-0.0024	-0.0941	0.1647	-0.1090
66.6766	-0.9130	1.5894	-9.8498	21.1477	0.3073	0.0008	-0.0116	-0.0290	-0.0052	-0.0645	0.1189	-0.0865
65.4537	-0.8950	1.5329	-9.3616	19.7235	0.3178	0.0007	-0.0136	-0.0176	-0.0044	-0.0173	0.0444	-0.0479
64.8596	-0.9404	1.6229	-9.8355	19.8054	0.3274	0.0002	-0.0077	-0.0396	-0.0060	0.0077	0.0094	-0.0359
64.7808	-0.9350	1.5826	-9.3920	18.2771	0.3302	0.0002	-0.0082	-0.0324	-0.0090	0.0629	-0.0712	-0.0032
65.5762	-0.9693	1.5580	-8.8330	16.6679	0.3289	0.0003	-0.0090	-0.0304	-0.0092	0.0526	-0.0599	-0.0011
64.0451	-1.1203	1.7205	-9.4755	16.9051	0.3537	-0.0007	0.0019	-0.0701	-0.0041	-0.1202	0.1997	-0.1156
66.8250	-1.1964	1.8333	-10.0226	17.9273	0.3397	-0.0006	0.0056	-0.0822	-0.0081	-0.1245	0.2047	-0.1138
65.6846	-1.2525	1.9018	-10.4590	18.6882	0.3537	-0.0009	0.0036	-0.0660	-0.0057	-0.1130	0.1831	-0.0985
65.3052	-1.2617	1.9135	-10.5223	18.7710	0.3604	-0.0013	0.0085	-0.0848	-0.0046	-0.1438	0.2265	-0.1120
64.8990	-1.2245	1.8584	-10.1192	17.7416	0.3641	-0.0016	0.0138	-0.1073	-0.0048	-0.1372	0.2161	-0.1063
65.3578	-1.2248	1.8289	-9.7674	16.8046	0.3627	-0.0014	0.0124	-0.1066	-0.0057	-0.1576	0.2502	-0.1263
64.5514	-1.1783	1.7442	-9.4075	16.9106	0.3687	-0.0013	0.0091	-0.0924	-0.0076	-0.0787	0.1365	-0.0847
66.0885	-1.1878	1.7936	-9.5264	16.3425	0.3605	-0.0016	0.0179	-0.1274	-0.0072	-0.1850	0.2994	-0.1608
67.3020	-1.1912	1.7250	-8.4639	12.8607	0.3551	-0.0016	0.0212	-0.1358	-0.0076	-0.2055	0.3238	-0.1601
69.6151	-1.1726	1.7606	-8.9219	14.4437	0.3387	-0.0015	0.0260	-0.1521	-0.0094	-0.1704	0.2659	-0.1257
70.5901	-1.2426	1.8162	-8.9210	13.7988	0.3388	-0.0016	0.0283	-0.1619	-0.0160	-0.0660	0.1157	-0.0690
74.0399	-1.3696	1.9736	-9.9705	16.4081	0.3220	-0.0010	0.0261	-0.1607	-0.0211	0.0540	-0.0680	0.0170
78.1837	-1.4118	1.9659	-9.2285	13.6521	0.2962	-0.0004	0.0279	-0.1760	-0.0236	0.0265	-0.0350	0.0171
77.8733	-1.5496	2.1217	-10.0164	15.0850	0.3117	-0.0013	0.0410	-0.2340	-0.0167	-0.1410	0.2059	-0.0717
78.6258	-1.5819	2.1292	-10.2662	16.5876	0.3110	-0.0011	0.0374	-0.2191	-0.0181	-0.0881	0.1294	-0.0440
78.1114	-1.6551	2.2258	-11.1197	18.7127	0.3231	-0.0016	0.0421	-0.2369	-0.0174	-0.0626	0.0903	-0.0264
79.7562	-1.6836	2.2862	-11.9207	21.9312	0.3146	-0.0013	0.0380	-0.2147	-0.0164	-0.0397	0.0537	-0.0083
81.1825	-1.7413	2.3012	-11.7683	21.4169	0.3106	-0.0011	0.0381	-0.2099	-0.0197	0.0394	-0.0700	0.0551
82.4317	-1.7326	2.3369	-11.7377	20.8323	0.3043	-0.0014	0.0468	-0.2545	-0.0145	-0.1069	0.1451	-0.0329
83.4279	-1.7479	2.3341	-12.1336	23.8773	0.3009	-0.0009	0.0394	-0.2205	-0.0159	-0.0384	0.0390	0.0189
87.5318	-1.8801	2.4042	-11.8201	21.5000	0.2804	0.0000	0.0344	-0.2150	-0.0208	-0.0131	0.0053	0.0276
91.5471	-1.9424	2.5247	-12.4507	21.7964	0.2576	0.0005	0.0374	-0.2444	-0.0294	-0.0119	0.0227	-0.0100
92.4497	-1.8508	2.5523	-13.6421	26.2260	0.2495	0.0000	0.0494	-0.3050	-0.0184	-0.1813	0.2673	-0.1041
92.8328	-1.7523	2.5128	-13.1700	23.6191	0.2436	0.0005	0.0322	-0.2188	-0.0162	-0.1657	0.2435	-0.0938
100.3460	-1.9852	2.7015	-12.3340	16.8429	0.2061	0.0016	0.0236	-0.1616	-0.0093	-0.4796	0.6954	-0.2616
106.8231	-1.8617	2.4704	-10.3756	11.9940	0.1537	0.0038	0.0071	-0.1169	-0.0192	-0.4992	0.7439	-0.3113
111.3953	-1.9833	2.5967	-11.4122	16.0199	0.1324	0.0046	0.0068	-0.1417	-0.0242	-0.6418	0.9712	-0.4310
117.6411	-2.0964	2.6981	-11.2572	13.4182	0.0991	0.0053	0.0132	-0.1836	-0.0338	-0.4799	0.7190	-0.3037
121.3735	-2.3828	2.9534	-12.2263	14.8292	0.0974	0.0055	0.0085	-0.1487	-0.0205	-0.6271	0.9041	-0.3313
115.9126	-2.5317	3.2788	-15.2093	22.0287	0.1601	0.0028	0.0231	-0.1810	0.0006	-0.7258	1.0194	-0.3341
125.5877	-1.6743	2.6055	-13.4481	23.2621	0.0405	0.0060	-0.0009	-0.0707	0.0296	-1.1873	1.6794	-0.5743
135.6750	-1.8473	2.0605	-8.0487	16.9201	-0.0112	0.0136	-0.0896	0.1678	-0.0337	0.3359	-0.5938	0.4196
