b0dia	ba1dia	ba2dia	ba3dia	ba4dia	b1dia	b2dia	b3dia	b4dia	bb1dia	bb2dia	bb3dia	bb4dia
8.2409	1.8093	-1.8703	8.5537	-10.4574	0.3742	-0.0080	0.0330	-0.0361	-0.0481	0.1904	-0.2951	0.0924
16.3443	1.4613	-1.5844	8.5531	-13.7014	0.3376	-0.0067	0.0280	-0.0305	-0.0421	0.1473	-0.2208	0.0564
13.6814	1.7899	-2.0949	11.8906	-20.3017	0.3408	-0.0062	0.0239	-0.0268	-0.0499	0.1898	-0.2958	0.0953
-2.2305	2.0458	-2.0636	8.7608	-9.0684	0.4491	-0.0095	0.0277	-0.0118	-0.0522	0.2641	-0.4295	0.1659
7.1024	1.4245	-1.2884	5.4006	-5.1633	0.4266	-0.0107	0.0507	-0.0701	-0.0223	0.0801	-0.0982	-0.0105
22.5224	1.2411	-1.1587	5.4827	-6.2290	0.3231	-0.0080	0.0497	-0.0852	-0.0350	0.0837	-0.1047	-0.0066
7.1688	2.0574	-2.1429	8.7073	-6.9730	0.3913	-0.0079	0.0285	-0.0270	-0.0746	0.3209	-0.5246	0.2072
10.9219	1.7121	-1.5447	6.0756	-5.5880	0.3914	-0.0095	0.0458	-0.0634	-0.0340	0.1515	-0.2269	0.0567
0.0292	1.3826	-1.5163	7.1831	-10.5716	0.5124	-0.0137	0.0821	-0.1555	-0.0443	0.1613	-0.2416	0.0645
-7.4708	1.9240	-1.6304	5.8484	-7.4136	0.5394	-0.0152	0.0752	-0.1166	-0.0193	0.2050	-0.3492	0.1599
17.4158	1.6902	-1.3304	3.6898	3.0431	0.3737	-0.0096	0.0478	-0.0772	-0.0183	0.1310	-0.2054	0.0662
-2.7250	3.8134	-2.3052	3.5243	8.0191	0.4042	-0.0133	0.0238	0.0586	0.0627	0.0422	-0.0520	-0.0180
