b0dia	ba1dia	ba2dia	ba3dia	ba4dia	b1dia	b2dia	b3dia	b4dia	bb1dia	bb2dia	bb3dia	bb4dia
34.8309	-0.6942	0.4260	3.3318	-16.8497	0.2081	-0.0030	0.0647	-0.2508	-0.0416	0.1445	-0.1779	0.0236
37.5926	-0.6443	0.3677	3.4067	-16.4200	0.1823	-0.0015	0.0474	-0.1947	-0.0411	0.2234	-0.2936	0.0668
39.4412	-0.5625	0.2263	4.2984	-18.3087	0.1635	-0.0003	0.0348	-0.1585	-0.0452	0.3142	-0.4246	0.1158
40.6765	-0.6234	0.3141	3.8208	-17.9457	0.1599	-0.0002	0.0372	-0.1782	-0.0410	0.1452	-0.1684	-0.0017
38.5263	-0.6294	0.3817	3.0897	-16.2418	0.1784	-0.0007	0.0354	-0.1608	-0.0439	0.2718	-0.3597	0.0853
38.8799	-0.7551	0.4856	2.7340	-15.7989	0.1860	-0.0008	0.0370	-0.1615	-0.0449	0.2920	-0.3993	0.1186
41.2743	-0.9011	0.6699	2.2512	-16.8137	0.1795	-0.0009	0.0420	-0.1746	-0.0484	0.2216	-0.2930	0.0726
42.2558	-1.0062	0.7158	2.6789	-19.1943	0.1817	-0.0009	0.0441	-0.1858	-0.0468	0.0978	-0.1120	0.0020
40.2612	-0.9872	0.7444	1.7973	-16.1566	0.1974	-0.0012	0.0445	-0.1857	-0.0476	0.1203	-0.1402	0.0055
43.6457	-1.0069	0.7340	1.9082	-15.7760	0.1751	-0.0005	0.0411	-0.1774	-0.0540	0.2098	-0.2758	0.0684
37.4261	-1.0061	0.8119	0.7582	-12.6239	0.2262	-0.0023	0.0517	-0.2087	-0.0439	0.0866	-0.0919	-0.0122
39.6219	-1.2657	1.1924	-1.7105	-7.6258	0.2280	-0.0027	0.0582	-0.2341	-0.0470	-0.0208	0.0811	-0.1069
40.8430	-1.2324	1.2238	-1.9885	-7.0689	0.2204	-0.0032	0.0673	-0.2749	-0.0429	-0.1374	0.2503	-0.1721
43.5592	-1.2444	1.2281	-1.7233	-8.2869	0.2012	-0.0024	0.0607	-0.2564	-0.0432	-0.1732	0.3033	-0.1943
44.6015	-1.2557	1.2143	-1.1069	-11.0077	0.1970	-0.0025	0.0620	-0.2557	-0.0368	-0.2817	0.4521	-0.2374
43.4310	-1.4836	1.4844	-2.8301	-7.6910	0.2221	-0.0031	0.0664	-0.2718	-0.0343	-0.3518	0.5529	-0.2744
40.2503	-1.5293	1.5113	-3.3498	-5.9574	0.2524	-0.0038	0.0674	-0.2644	-0.0307	-0.3766	0.5899	-0.2912
38.7912	-1.4248	1.4482	-3.6476	-4.2826	0.2581	-0.0037	0.0597	-0.2243	-0.0330	-0.3080	0.4967	-0.2660
43.1602	-1.3762	1.3057	-2.4967	-6.1669	0.2217	-0.0018	0.0357	-0.1265	-0.0409	-0.0310	0.0745	-0.0711
44.7535	-1.2714	1.1636	-1.6742	-7.0124	0.2031	-0.0006	0.0171	-0.0429	-0.0436	0.1573	-0.2169	0.0706
44.9528	-1.1354	1.0103	-0.6896	-9.5126	0.1953	-0.0005	0.0153	-0.0298	-0.0404	0.1044	-0.1372	0.0343
39.8113	-0.9011	0.8911	-1.1437	-6.6547	0.2237	-0.0020	0.0227	-0.0406	-0.0358	0.0930	-0.1099	0.0051
37.8989	-1.0051	1.0055	-1.5428	-6.9588	0.2482	-0.0029	0.0310	-0.0735	-0.0328	-0.0609	0.1319	-0.1190
35.1924	-0.8104	0.8253	-0.5962	-9.3500	0.2601	-0.0037	0.0368	-0.0925	-0.0269	-0.1549	0.2764	-0.1888
35.6873	-0.7372	0.8448	-1.3541	-6.8503	0.2540	-0.0041	0.0431	-0.1168	-0.0230	-0.2589	0.4332	-0.2593
32.6133	-0.5491	0.7277	-1.3961	-5.5317	0.2691	-0.0053	0.0532	-0.1439	-0.0153	-0.3595	0.5813	-0.3205
34.8437	-0.4711	0.6905	-1.4542	-4.7991	0.2492	-0.0052	0.0579	-0.1655	-0.0189	-0.3396	0.5570	-0.3175
35.5381	-0.4317	0.6593	-1.2682	-5.2622	0.2433	-0.0053	0.0630	-0.1896	-0.0217	-0.3173	0.5302	-0.3160
36.1777	-0.4466	0.6410	-0.9947	-5.8087	0.2409	-0.0052	0.0631	-0.1933	-0.0220	-0.1927	0.3323	-0.2121
41.2921	-0.4612	0.5856	-0.5033	-6.0372	0.2021	-0.0034	0.0497	-0.1573	-0.0331	0.0525	-0.0350	-0.0513
43.0646	-0.3308	0.3256	1.3124	-9.9318	0.1798	-0.0016	0.0281	-0.0904	-0.0459	0.3232	-0.4202	0.0842
44.3551	-0.1948	0.1835	1.9859	-10.8501	0.1628	-0.0011	0.0241	-0.0832	-0.0524	0.5032	-0.6840	0.1900
41.1520	0.0212	-0.0243	2.9817	-12.3905	0.1771	-0.0019	0.0273	-0.0838	-0.0470	0.5514	-0.7673	0.2434
40.7747	0.1804	-0.1901	4.1333	-15.4608	0.1742	-0.0025	0.0343	-0.0976	-0.0441	0.5815	-0.8266	0.2933
42.6723	0.2057	-0.2093	4.4920	-16.8094	0.1599	-0.0024	0.0353	-0.0956	-0.0449	0.6759	-0.9819	0.3834
44.4726	0.1842	-0.1287	4.2111	-17.1510	0.1485	-0.0024	0.0365	-0.0871	-0.0360	0.5025	-0.7363	0.2978
44.4307	0.0412	0.0455	3.5578	-17.0706	0.1602	-0.0031	0.0461	-0.1195	-0.0272	0.2636	-0.3881	0.1611
46.1460	-0.1944	0.3303	2.0667	-14.4506	0.1634	-0.0032	0.0504	-0.1357	-0.0212	0.0591	-0.0927	0.0497
48.5522	-0.2845	0.4266	2.1896	-16.3502	0.1537	-0.0035	0.0626	-0.1955	-0.0152	-0.2111	0.3080	-0.1179
47.5272	-0.3843	0.5027	1.5489	-14.8051	0.1683	-0.0032	0.0566	-0.1790	-0.0162	-0.1752	0.2648	-0.1172
42.3688	-0.2544	0.3590	1.5821	-13.3586	0.2003	-0.0031	0.0394	-0.1000	-0.0230	0.1762	-0.2505	0.0889
40.4190	-0.1244	0.2024	2.2651	-13.8723	0.2085	-0.0028	0.0242	-0.0270	-0.0263	0.4803	-0.7170	0.3102
41.2786	-0.4001	0.5512	0.3246	-9.9661	0.2234	-0.0037	0.0333	-0.0397	-0.0258	0.4110	-0.6274	0.2957
44.5475	-0.4095	0.5884	0.3313	-11.0779	0.2020	-0.0036	0.0417	-0.0815	-0.0240	0.2501	-0.3889	0.1968
48.1433	-0.5054	0.6845	0.6598	-14.3615	0.1854	-0.0038	0.0599	-0.1887	-0.0266	0.0236	-0.0355	0.0216
36.6027	-0.2846	0.4948	0.5126	-11.9027	0.2648	-0.0058	0.0611	-0.1823	-0.0318	0.3126	-0.4516	0.1770
32.6680	-0.2953	0.5385	-0.5236	-7.6933	0.2977	-0.0064	0.0584	-0.1674	-0.0333	0.4917	-0.7205	0.2953
34.2675	-0.3725	0.6712	-1.4456	-4.7100	0.2927	-0.0065	0.0568	-0.1384	-0.0262	0.4807	-0.7367	0.3540
34.5736	-0.5184	0.8798	-2.5558	-3.2479	0.3039	-0.0074	0.0666	-0.1528	-0.0130	0.1827	-0.3110	0.2009
38.2705	-0.8498	1.1780	-3.1281	-5.8888	0.2993	-0.0068	0.0702	-0.2122	-0.0147	-0.2020	0.2993	-0.1195
27.2619	-0.7090	1.1524	-4.7290	0.3025	0.3797	-0.0092	0.0796	-0.2446	-0.0222	0.1254	-0.1630	0.0363
30.6429	-0.6031	1.1239	-5.8827	7.3287	0.3476	-0.0081	0.0684	-0.2186	-0.0270	0.4252	-0.6274	0.2628
38.2584	-0.5815	1.0570	-5.5212	7.7327	0.2884	-0.0057	0.0424	-0.1141	-0.0255	0.4732	-0.7143	0.3218
34.2063	-0.6992	1.3687	-7.5293	9.9367	0.3300	-0.0072	0.0412	-0.0552	-0.0037	0.0265	-0.0620	0.0645
28.3761	-0.5032	1.1656	-6.5035	7.3478	0.3702	-0.0090	0.0557	-0.0992	0.0012	-0.2162	0.3295	-0.1511
31.5473	-0.1910	0.8482	-4.9950	5.5448	0.3330	-0.0093	0.0772	-0.2338	-0.0012	-0.3665	0.5893	-0.3214
28.0599	-0.1241	0.7701	-4.7329	5.1931	0.3597	-0.0102	0.0796	-0.2161	-0.0098	0.0298	-0.0073	-0.0557
23.6587	0.3036	0.2722	-3.1305	5.7577	0.3693	-0.0097	0.0627	-0.1368	-0.0164	0.4595	-0.6438	0.2100
30.6936	0.0131	0.6061	-3.5047	1.8377	0.3406	-0.0098	0.0776	-0.1950	-0.0166	0.1956	-0.2534	0.0492
36.2121	-0.1094	0.7833	-3.9736	0.5351	0.3083	-0.0089	0.0774	-0.1975	-0.0148	0.0910	-0.0977	-0.0189
42.9427	-0.2087	1.2659	-7.7504	8.4270	0.2634	-0.0082	0.0706	-0.1836	0.0138	-0.4419	0.6751	-0.3217
35.6163	-0.3308	1.3791	-8.3941	8.0466	0.3365	-0.0098	0.0787	-0.2043	-0.0005	-0.1455	0.2492	-0.1613
52.6206	0.3420	0.8903	-5.8391	3.6866	0.1778	-0.0082	0.0886	-0.2524	0.0117	-0.5949	0.9156	-0.4441
73.7970	-0.1315	1.1805	-3.1333	-12.7158	0.0592	-0.0043	0.0809	-0.2789	-0.0520	0.1674	-0.2079	0.0315
106.9205	-0.8638	1.9387	-5.9490	-7.0235	-0.1310	0.0011	0.0640	-0.2761	-0.1211	0.5938	-0.7577	0.1352
