"q2" "Freq"
"181" "AMLODIPINE 1MG/ME" 1
"182" "AMLODIPINE 2.5 MG" 1
"183" "AMLODIPINE BESXLATE" 1
"184" "AMLODIPINE BESYLATE 10 MG" 1
"185" "AMLODIPINE BESYLOTE" 1
"186" "AMLODPINE" 1
"187" "AMLODYPINE" 1
"188" "AMLOLDIPINE" 1
"189" "AMLOPIDINE" 1
"190" "AMLOPRDINE BESYLATE" 1
"191" "AMLORIDE" 1
"192" "AMNLODIPINE" 1
"193" "AMOLODIPINE BESYLATE" 1
"194" "AMOLODOPINE" 1
"195" "AMOLORIDE/HERTZ" 1
"196" "ANALAPRIL 5 MG" 1
"197" "ANALAPRIL MALEATE" 1
"198" "ANALODIPIMINE" 1
"199" "ANLODPINE" 1
"200" "APRESALINE" 1
"201" "ARENOLOL" 1
"202" "ATACAD" 1
"203" "ATACAND -2" 1
"204" "ATACAND HCT (32 & 12.5 MG)" 1
"205" "ATACARD" 1
"206" "ATACCAND" 1
"207" "ATANOLOL" 1
"208" "ATCROLO" 1
"209" "ATENENOL" 1
"210" "ATENLOLO" 1
"211" "ATENOLAL" 1
"212" "ATENOLO" 1
"213" "ATENOLOL -2" 1
"214" "ATENOLOL 2MG/ML" 1
"215" "ATENOLOL TENOMIN" 1
"216" "ATENOLOL." 1
"217" "ATERROLOL" 1
"218" "ATRN0101" 1
"219" "ATTACO" 1
"220" "BENAZEPHIL" 1
"221" "BENAZEPHRIL" 1
"222" "BENAZEPRIL-HCL" 1
"223" "BENAZIPRIL" 1
"224" "BENAZOPRIL" 1
"225" "BENAZUPRIL" 1
"226" "BENAZYPRIL" 1
"227" "BENZAPRIL" 1
"228" "BENZAZEPRIL" 1
"229" "BISOPROLOL" 1
"230" "CABETALOL HCI" 1
"231" "CANDESARTAN CILEXCTIL SUSPENSION" 1
"232" "CANDESARTAN CILEXTIL" 1
"233" "CAPTOPRIL  (1MG/ML)" 1
"234" "CAPTORIL" 1
"235" "CAPTORPRIL" 1
"236" "CARAPRES" 1
"237" "CARDIZEN" 1
"238" "CARDIZERM" 1
"239" "CARDVRA" 1
"240" "CAZAAR" 1
"241" "CHEROTHIAZIDE" 1
"242" "CHLOROTHIAZ (250 MG TABLETS)" 1
"243" "CHLORTHALIONE" 1
"244" "CLENEDINE" 1
"245" "CLODIDINE" 1
"246" "CLOMDINE" 1
"247" "CLONDINE" 1
"248" "CLONIDE" 1
"249" "CLONIDINE HCL" 1
"250" "CLONIDINE HCL 0.1 MG" 1
"251" "CLONIDING" 1
"252" "CLONODINE" 1
"253" "CLOREDINE" 1
"254" "COCAAR" 1
"255" "CORAAR" 1
"256" "COZAAR (#2)" 1
"257" "COZAAR (50MG QD) 9:30" 1
"258" "COZAAR (LOSARTIN)" 1
"259" "COZAAR 25" 1
"260" "COZAAR 25 MG" 1
"261" "COZAAR 25 MG 1/2 TAB QD" 1
"262" "COZAAR II" 1
"263" "COZAAR LOSARTAN" 1
"264" "COZAAR/LOSARTAN" 1
"265" "COZAR 25MG QD" 1
"266" "DIAMOX" 1
"267" "DIAMPX" 1
"268" "DIAVAN" 1
"269" "DICIRIL" 1
"270" "DIDUAN" 1
"271" "DILTIAZEM HCL" 1
"272" "DIRIL SUS 250MG/5ML" 1
"273" "DIRRIL" 1
"274" "DOXASOZIN" 1
"275" "DYNACIRC" 1
"276" "ECALAPRIL" 1
"277" "ELANAPRIL MALEATE" 1
"278" "ELISINOPRIL" 1
"279" "ENALAHPRIL" 1
"280" "ENALALPRIL" 1
"281" "ENALAPHIL" 1
"282" "ENALAPRIE" 1
"283" "ENALAPRIL  1MG/ML" 1
"284" "ENALAPRIL  2.5 MGQD" 1
"285" "ENALAPRIL  5 MG QD" 1
"286" "ENALAPRIL  MALEATE" 1
"287" "ENALAPRIL -2ND" 1
"288" "ENALAPRIL 2" 1
"289" "ENALAPRIL 2.5 MG" 1
"290" "ENALAPRIL 5 MG BID" 1
"291" "ENALAPRIL 5 MG QD" 1
"292" "ENALAPRIL AM" 1
"293" "ENALAPRIL MACEATE" 1
"294" "ENALAPRIL MAKATE" 1
"295" "ENALAPRIL MALEATE (VASOTEC)" 1
"296" "ENALAPRIL MALEATE 5 MG" 1
"297" "ENALAPRIL MALEATE VASOTEC" 1
"298" "ENALAPRIL MALEATI" 1
"299" "ENALAPRIL ONCE DAILY 5 MG" 1
"300" "ENALAPRIL PM" 1
"301" "ENALAPRIL(2.5 MG)" 1
"302" "ENALAPRILL" 1
"303" "ENALAPROL" 1
"304" "ENALARIL" 1
"305" "ENALDPRIL" 1
"306" "ENALPRIL MALEATE" 1
"307" "ENALUPRIL" 1
"308" "ENANLAPRIL" 1
"309" "ENANLPRIL" 1
"310" "ENAPRIL" 1
"311" "ENAPRIL (2.5 MG QD)" 1
"312" "ENAPRIL(2.5MG QD)" 1
"313" "ENLAPRIL" 1
"314" "ENOLAPRIL" 1
"315" "ENSLAPRIL" 1
"316" "ERALAPRIL" 1
"317" "FIOMAX" 1
"318" "FLOCIMIDI" 1
"319" "FLOMAZ (0.4 MG)" 1
"320" "FLOWMAX" 1
"321" "FUROSEMIDE (LASIX)" 1
"322" "FUROSIMIDE" 1
"323" "FUROSMIDE" 1
"324" "FURROSEMIDE" 1
"325" "GUAN FACINE" 1
"326" "GUANFACINE HCI" 1
"327" "GUANFRAINE" 1
"328" "HABETALOL" 1
"329" "HESEROPRIL" 1
"330" "HOTENSIN" 1
"331" "HYCHOCHLOROTHIAZIDE" 1
"332" "HYDIOCHLROTHIUSIDE" 1
"333" "HYDRALADINE" 1
"334" "HYDRALOTRIATIDE" 1
"335" "HYDRCHLORO" 1
"336" "HYDRO CHLOROLTIDE" 1
"337" "HYDROCH LOVOTHIAZIDE" 1
"338" "HYDROCHIOROTHIAZIDE" 1
"339" "HYDROCHLORATHILAZIDE" 1
"340" "HYDROCHLORO THIAZIDE" 1
"341" "HYDROCHLORO THRAZIDE" 1
"342" "HYDROCHLOROLIAZIDE" 1
"343" "HYDROCHLOROTHIAZIDE - LOSARTAN" 1
"344" "HYDROCHLOROTHIEIZIDE" 1
"345" "HYDROCHLROTHIOZIDE" 1
"346" "HYDROCHLROTHIZIDE" 1
"347" "HYDROCHORITHIATIDE" 1
"348" "HYDROCLOROTHIGDE" 1
"349" "HYDROCLOROTHIOZIDE" 1
"350" "HYDRODIURIL" 1
"351" "HYDRODIVRIL" 1
"352" "HYDROXYINE" 1
"353" "HYDVALAUNE" 1
"354" "HYPERTENSION ENALALPRIL MALEATE" 1
"355" "HYRCCHLOROTACIDE" 1
"356" "HYROLYZINE" 1
"357" "HYZAAC" 1
"358" "HYZAAR 50-125 MG TAB" 1
"359" "IC LOSARTAIN PATASSIUM" 1
"360" "IISINPRIOL 2.5 MG DAILY" 1
"361" "INDERAL" 1
"362" "INSPRA" 1
"363" "IRBESARTAR" 1
"364" "ISRADIPINE (DYNA CIRC)" 1
"365" "LABATELOL" 1
"366" "LABELALOL" 1
"367" "LABELTOL" 1
"368" "LABETABLE" 1
"369" "LABETALOL ACT" 1
"370" "LABETALOL HCL 200 MG TAB" 1
"371" "LABETALOZ" 1
"372" "LABETLOL" 1
"373" "LABETOLO" 1
"374" "LABETOLOL AM" 1
"375" "LABETOLOL PM" 1
"376" "LABOTALOL" 1
"377" "LASARTAN POSTASSIUM" 1
"378" "LASEX" 1
"379" "LASICS" 1
"380" "LASIX FUROSEMIDE" 1
"381" "LEBATOLOL" 1
"382" "LESARTAN NF" 1
"383" "LISINEPRINE" 1
"384" "LISINIOPRIL" 1
"385" "LISINIPROL" 1
"386" "LISINOP/HCTZ" 1
"387" "LISINOPINE" 1
"388" "LISINOPRIC" 1
"389" "LISINOPRIL -7.5" 1
"390" "LISINOPRIL -DOSE 5.0" 1
"391" "LISINOPRIL -HCTZ" 1
"392" "LISINOPRIL (ZESTRIL)" 1
"393" "LISINOPRIL #2" 1
"394" "LISINOPRIL 1/2 TAB" 1
"395" "LISINOPRIL 10MG" 1
"396" "LISINOPRIL 2 MG/ML" 1
"397" "LISINOPRIL 20 MG" 1
"398" "LISINOPRIL 5 MG" 1
"399" "LISINOPRIL HCT2" 1
"400" "LISINOPRIL II" 1
"401" "LISINOPRIL." 1
"402" "LISINOPRIL/HYDROCHLOROTHIAZIDE" 1
"403" "LISINOPRIL/HYDROCHLORTHIAZIDE" 1
"404" "LISINOPRL" 1
"405" "LISINOPROL" 1
"406" "LISINOROIL" 1
"407" "LISINORPIL" 1
"408" "LISINORPRIL" 1
"409" "LISINPOIL" 1
"410" "LISINPRIOL" 1
"411" "LISINSOPRIL" 1
"412" "LISINUPRIL" 1
"413" "LISIONGORIL" 1
"414" "LISIONPRIL" 1
"415" "LISMOPRIL" 1
"416" "LISNORIL" 1
"417" "LOFENSIN" 1
"418" "LORARTAN" 1
"419" "LORSATAM" 1
"420" "LOSARATAN" 1
"421" "LOSARKAN" 1
"422" "LOSARTAN - HYDROCHLOROTHIAZIDE" 1
"423" "LOSARTAN POTASSOUM (COZAAR)" 1
"424" "LOSARTEN" 1
"425" "LOSARTIN COZAAR" 1
"426" "LOSARTIN HCTZ 50/125 MG (HYZAAR)" 1
"427" "LOSASTAN" 1
"428" "LOSCERTAN" 1
"429" "LOSTARTAN" 1
"430" "LSIX" 1
"431" "LUSINOPRIL" 1
"432" "LUSTIX" 1
"433" "MATOPROLAL XL" 1
"434" "METALAZONE" 1
"435" "METOLATONE" 1
"436" "METOPROLO" 1
"437" "METOPROLOL EXTENDED RELEASE" 1
"438" "METOPROLOL TART" 1
"439" "METOPROLOL TARTA" 1
"440" "METOPROLOL TARTRATE" 1
"441" "METPROLOL" 1
"442" "METROPOLOL" 1
"443" "METROPROLOL" 1
"444" "METROPROPOL" 1
"445" "MIFEDIPINE" 1
"446" "MINOCIDIL" 1
"447" "MODURETIE (AMILORIDE/HCTZ" 1
"448" "MODURTIC" 1
"449" "MONOPRIL (2ND DOSAGE)" 1
"450" "MULTIPINE" 1
"451" "NADALOL CORGARD" 1
"452" "NADOLOL (CARGARD)" 1
"453" "NERVASC" 1
"454" "NESINOPRIL" 1
"455" "NIFEDICAL XL TAB" 1
"456" "NIFEDIEAL XL" 1
"457" "NIFEDINE" 1
"458" "NIFEDIPIN ER" 1
"459" "NIFEDIPIN XL" 1
"460" "NIFEDIPINE 4R" 1
"461" "NIFEDIPINE XR" 1
"462" "NIFEDIPINNE" 1
"463" "NIFEHIPINE ER" 1
"464" "NIFENICAL XL" 1
"465" "NIPHEDIPINE XL" 1
"466" "NONVASC" 1
"467" "NORNASC" 1
"468" "NORRASC" 1
"469" "NORVAC" 1
"470" "NORVAGE (AMLODIPINE)" 1
"471" "NORVASC -2ND" 1
"472" "NORVASC -AMLODIPINE" 1
"473" "NORVASC (AMLODIPINE) 2" 1
"474" "NORVASC 25MG TABLETS" 1
"475" "NORVASO" 1
"476" "NORVOASC" 1
"477" "NORWOSE" 1
"478" "NOVASC" 1
"479" "NOVOPRANOL" 1
"480" "NTEDIPINE" 1
"481" "NYZAAR" 1
"482" "OTENOLOL" 1
"483" "PAQTCH CLONIDINE" 1
"484" "PLENDIL" 1
"485" "PRAZOSIN" 1
"486" "PRINZIDE" 1
"487" "PROCARDA" 1
"488" "PROCARDIG" 1
"489" "PROPRANAOLOL" 1
"490" "PROPRANOLOL HCT" 1
"491" "PRRAPRANOLOL" 1
"492" "RAMIPRIL DIFFERENT DOSE" 1
"493" "RAMPRIL 10MG+2.5 MG" 1
"494" "SMLODIPINE" 1
"495" "TAMSULOSIN (FLOMAX)" 1
"496" "TAMSULOSIN FLOMAX" 1
"497" "TELMISARTAR" 1
"498" "TELMISARTEN (MICARDIS)" 1
"499" "TELMISARTIN" 1
"500" "TERAZONSIN" 1
"501" "TRAZOSIN" 1
"502" "VALSARTAN (DIOVAN)" 1
"503" "VASATEC" 1
"504" "VASCOTEC (ENAPRIL) 10MG" 1
"505" "VASOTEC ENANAPRIL" 1
"506" "VASOTECH" 1
"507" "VASOTEE" 1
"508" "VASTEC" 1
"509" "VERAPAMIL ER" 1
"510" "VORVASC" 1
"511" "VOSOTEC" 1
"512" "VUSOTEC" 1
"513" "XLORVASC" 1
"514" "YDROCHLOROTHIAZIDE" 1
"515" "ZAREXPLYM" 1
"516" "ZESTERIL ( LISIHOPRIL)" 1
"517" "ZESTRI /LISINOPRIL" 1
"518" "ZLISINOPRIL" 1
